question_id,question
lbhxhq000162,"Tôi đóng BHXH tự nguyện được 5 năm, sau đó đi làm công ty và đóng BHXH bắt buộc thêm 15 năm. Vậy khi tôi đủ tuổi nghỉ hưu, cách tính lương hưu của tôi như thế nào?"
lbhxhq000163,"Ông A có 10 năm đóng BHXH bắt buộc, sau đó làm tự do và đóng BHXH tự nguyện 5 năm. Vì khó khăn, ông A đã rút BHXH một lần cho 10 năm đóng BHXH bắt buộc. Sau đó ông A lại đi làm và đóng BHXH bắt buộc thêm 10 năm nữa. Khi ông A về hưu, thời gian đóng BHXH của ông được tính như thế nào?"
lbhxhq000164,Thế nào là 'thời gian đóng bảo hiểm xã hội đã được tính hưởng bảo hiểm xã hội một lần'?
lbhxhq000165,Luật Bảo hiểm xã hội quy định như thế nào về việc cộng dồn thời gian đóng BHXH bắt buộc và tự nguyện?
lbhxhq000166,Quỹ bảo hiểm xã hội có thể được sử dụng cho các mục đích khác ngoài chi trả các chế độ bảo hiểm cho người lao động không?
lbhxhq000167,Làm thế nào để đảm bảo quỹ bảo hiểm xã hội được quản lý công khai và minh bạch?
lbhxhq000168,"Một cán bộ bảo hiểm xã hội sử dụng tiền trong quỹ để đầu tư vào một dự án bất động sản cá nhân, hành vi này có vi phạm pháp luật không?"
lbhxhq000169,Thế nào là 'hạch toán độc lập' của quỹ bảo hiểm xã hội?
lbhxhq000170,Điều luật nào quy định về việc quản lý tập trung quỹ bảo hiểm xã hội?
lbhxhq000171,"Tôi thấy thủ tục nhận bảo hiểm xã hội rất phức tạp và rườm rà, vậy có đúng với tinh thần của luật không?"
lbhxhq000172,"Nếu tôi thấy quyền lợi bảo hiểm xã hội của mình không được đảm bảo đầy đủ, tôi nên làm gì?"
lbhxhq000173,"Anh A bị tai nạn lao động và đủ điều kiện hưởng chế độ BHXH, nhưng công ty cố tình trì hoãn việc làm thủ tục để anh được hưởng quyền lợi. Hành vi này có vi phạm pháp luật không?"
lbhxhq000174,Thế nào là 'bảo đảm kịp thời' quyền lợi bảo hiểm xã hội?
lbhxhq000175,Luật Bảo hiểm xã hội quy định những nguyên tắc nào?
lbhxhq000176,Nhà nước có bắt buộc mọi người dân phải tham gia bảo hiểm xã hội không?
lbhxhq000177,Nhà nước tạo điều kiện gì để người dân tham gia bảo hiểm xã hội?
lbhxhq000178,"Một công ty tư nhân không đóng bảo hiểm xã hội cho nhân viên, nhưng lại tuyên bố đã 'khuyến khích' nhân viên tự mua bảo hiểm tự nguyện. Như vậy có đúng luật không?"
lbhxhq000179,Vậy 'khuyến khích tham gia bảo hiểm xã hội' nghĩa là gì?
lbhxhq000180,Điều luật nào trong Luật Bảo hiểm xã hội thể hiện rõ nhất chính sách khuyến khích của Nhà nước?
lbhxhq000181,Tôi tham gia bảo hiểm xã hội tự nguyện thì có được nhà nước giúp đỡ gì không?
lbhxhq000182,Tôi muốn biết cụ thể Nhà nước hỗ trợ những gì khi tôi đóng bảo hiểm xã hội tự nguyện?
lbhxhq000183,"Anh A làm nông nghiệp, muốn tham gia BHXH tự nguyện nhưng lo không đủ tiền đóng. Vậy, chính sách hỗ trợ của Nhà nước có giúp được gì cho anh A không?"
lbhxhq000184,Thế nào là 'hỗ trợ người tham gia bảo hiểm xã hội tự nguyện'?
lbhxhq000185,Điều luật nào khẳng định Nhà nước có chính sách hỗ trợ bảo hiểm xã hội tự nguyện?
lbhxhq000186,Nhà nước có can thiệp vào việc quản lý quỹ bảo hiểm xã hội không?
lbhxhq000187,Nhà nước thực hiện những biện pháp cụ thể nào để bảo vệ quỹ bảo hiểm xã hội?
lbhxhq000188,Một số cán bộ bảo hiểm xã hội thông đồng rút ruột quỹ BHXH để đầu tư bất động sản rồi thua lỗ nặng. Ai chịu trách nhiệm?
lbhxhq000189,Thế nào là 'bảo toàn quỹ bảo hiểm xã hội'?
lbhxhq000190,Điều nào trong Luật Bảo hiểm xã hội quy định về trách nhiệm của Nhà nước đối với quỹ?
lbhxhq000191,Tôi có bắt buộc phải tham gia bảo hiểm hưu trí ngoài bảo hiểm xã hội nhà nước không?
lbhxhq000192,Nếu công ty tôi muốn triển khai chương trình bảo hiểm hưu trí thêm cho nhân viên thì cần chuẩn bị những gì?
lbhxhq000193,"Anh A làm việc tại công ty X, công ty này tự động trích một phần lương của anh để đóng bảo hiểm hưu trí bổ sung mà không hỏi ý kiến. Như vậy có đúng luật không?"
lbhxhq000194,Vậy 'bảo hiểm hưu trí bổ sung' khác gì so với bảo hiểm xã hội thông thường?
lbhxhq000195,Điều luật nào trong Luật Bảo hiểm xã hội đề cập đến chính sách khuyến khích bảo hiểm hưu trí bổ sung?
lbhxhq000196,Nhà nước có chính sách hỗ trợ việc áp dụng công nghệ vào hoạt động bảo hiểm xã hội không?
lbhxhq000197,Việc ưu tiên đầu tư công nghệ thông tin trong quản lý bảo hiểm xã hội được thực hiện như thế nào?
lbhxhq000198,"Một công ty phần mềm chào hàng giải pháp quản lý BHXH cho cơ quan nhà nước, được quảng bá là 'được nhà nước ưu tiên'. Điều này có đúng không?"
lbhxhq000199,Vậy 'quản lý bảo hiểm xã hội' ở đây được hiểu là gì?
lbhxhq000200,Điều luật nào khẳng định việc nhà nước ưu tiên phát triển công nghệ thông tin trong lĩnh vực bảo hiểm xã hội?
lbhxhq000201,Việc xây dựng các quy định về bảo hiểm y tế có thuộc nội dung quản lý nhà nước về bảo hiểm xã hội không?
lbhxhq000202,Nhà nước thực hiện quản lý bảo hiểm xã hội bằng những cách nào?
lbhxhq000203,Một công ty tự ý đặt ra quy định riêng về mức đóng bảo hiểm xã hội thấp hơn quy định của nhà nước. Hành vi này có vi phạm quy định về quản lý nhà nước về bảo hiểm xã hội không?
lbhxhq000204,Thế nào là 'chính sách bảo hiểm xã hội'?
lbhxhq000205,Điều 7 Luật Bảo hiểm Xã hội quy định những nội dung nào?
lbhxhq000206,Nhà nước có trách nhiệm giúp người dân hiểu rõ về bảo hiểm xã hội không?
lbhxhq000207,Nhà nước thực hiện việc tuyên truyền về bảo hiểm xã hội bằng những cách nào?
